ชื่อสถานที่/บุคคล/กลุ่ม/เครือข่าย/องค์กร ที่มีการดำเนินงานด้านอาหารปลอดภัย,กิจกรรมในระบบห่วงโซ่อาหารที่ดำเนินงานอยู่,ข้อมูลโดยละเอียดของกิจกรรมในคำถามข้างต้น,งานส่งเสริมระบบอาหารที่ดำเนินงานอยู่,ข้อมูลโดยละเอียดของงานส่งเสริมในคำถามข้างต้น,ระดับคุณภาพอาหารของกิจกรรมในคำถามข้างต้น,ละติจูด,ลองจิจูด,ประเภท,บทบาท
โรงเรียนวัดสนามชัย,"การจัดการทรัพยากร, การผลิต, การบริโภค-รับซื้อผลผลิต, การบริการอาหาร (Food Service)","แหล่งเรียนรู้โรงเรียนสุขภาวะ การบริหารจัดการระบบอาหารและโภชนาการในโรงเรียน การผลิตพืชผักปลอดภัยในโรงเรียนเพื่อสนับสนุนโครงการอาหารกลางวันให้แก่นักเรียน การจัดพื้นที่การเรียนรู้แปลงผักอินทรีย์ การรับซื้อผลผลิตปลอดสารพิษในชุมชนมาประกอบอาหารกลางวันให้แก่นักเรียน การให้ความรู้กับผู้ปกครองเพื่อปรับพฤติกรรมการทานผักผลไม้ของเด็ก ส่งเสริมให้นักเรียนรักษ์ซึ่งทรัพยากรธรรมชาติอย่างคุ้มค่า โดยการเชิญปราชญ์ผู้รู้มาให้ความรู้ด้านสิ่งแวดล้อม การบูรณาการนำเข้าในการเรียนการสอนทุกระดับชั้น","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านวัฒนธรรมอาหาร, งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ)","ต้นแบบโรงเรียนที่มีการจัดปัจจัยแวดล้อมด้านอาหารสุขภาวะ แหล่งเรียนรู้โรงเรียนสุขภาวะ การบริหารจัดการระบบอาหารและโภชนาการในโรงเรียน ส่งเสริมเพิ่มการบริโภคผักผลไม้และลดอัตราซุกน้ำหนักตัวเกินโรคอ้วนของเด็กนักเรียน ลดปัจจัยเสี่ยงและส่งเสริมสุขภาพ การผลิตพืชผักปลอดสารพิษในโรงเรียนเพื่อสนับสนุนโครงการอาหารกลางวันให้แก่นักเรียน การจัดพื้นที่การเรียนรู้แปลงผักอินทรีย์ การรับซื้อผลผลิตปลอดสารพิษในชุมชนมาประกอบอาหารกลางวันให้แก่นักเรียน การให้ความรู้กับผู้ปกครองเพื่อปรับพฤติกรรมการทานผักผลไม้ของเด็ก ส่งเสริมให้นักเรียนรักษ์ซึ่งทรัพยากรธรรมชาติอย่างคุ้มค่า โดยการเชิญปราชญ์ผู้รู้มาให้ความรู้ด้านสิ่งแวดล้อม การบูรณาการนำเข้าในการเรียนการสอนทุกระดับชั้น เช่น อาหารหลัก 5 หมู่ ความรู้เรื่องผักผลไม้ ประโยชน์ของการบริโภคผักผลไม้ การเรียนรู้ผ่านการปฏิบัติการปลูกพืชผักสวนครัวเพื่อเป็นอาหารกลางวันในโรงเรียน การออมเงินและการทำบัญชีรายรับรายจ่าย","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",14.95716,100.25737,School,"ผู้ผลิต (Producer) ผู้บริโภค (Consumer)"
โรงเรียนบ้านทุ่งกูด,"การจัดการทรัพยากร, การผลิต, การบริโภค-รับซื้อผลผลิต, การบริการอาหาร (Food Service)","การบริหารจัดการระบบอาหารและโภชนาการในโรงเรียน การผลิตพืชผักปลอดภัยในโรงเรียนเพื่อสนับสนุนโครงการอาหารกลางวันให้แก่นักเรียน การจัดพื้นที่การเรียนรู้แปลงผักอินทรีย์ การเชิญชวนให้อาหารปลอดภัยจากชุมชน รับซื้อผลผลิตปลอดสารพิษในชุมชนมาประกอบอาหารกลางวันให้แก่นักเรียน การให้ความรู้กับนักเรียนและผู้ปกครองถึงประโยชน์ของพืชผักเพื่อปรับพฤติกรรมการบริโภคผักที่บ้านของนักเรียนและครอบครัว การบูรณาการเข้าไปในหลักสูตรการเรียนการสอนตามช่วงวัยของเด็ก","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านวัฒนธรรมอาหาร, งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ)","ต้นแบบโรงเรียนที่มีการจัดปัจจัยแวดล้อมด้านอาหารสุขภาวะ แหล่งเรียนรู้โรงเรียนสุขภาวะ การบริหารจัดการระบบอาหารและโภชนาการในโรงเรียน ส่งเสริมเพิ่มการบริโภคผักผลไม้และลดอัตราซุกน้ำหนักตัวเกินโรคอ้วนของเด็กนักเรียน ลดปัจจัยเสี่ยงและส่งเสริมสุขภาพ การผลิตพืชผักปลอดภัยในโรงเรียนเพื่อสนับสนุนโครงการอาหารกลางวันให้แก่นักเรียน การจัดพื้นที่การเรียนรู้แปลงผักอินทรีย์ การเชื่อมโยงอาหารปลอดภัยจากชุมชน รับซื้อผลผลิตปลอดสารพิษในชุมชนมาประกอบอาหารกลางวันให้แก่นักเรียน การให้ความรู้กับนักเรียนและผู้ปกครองถึงประโยชน์ของพืชผักเพื่อปรับพฤติกรรมการบริโภคผักที่บ้านของนักเรียนและครอบครัว การบูรณาการเข้าไปในหลักสูตรการเรียนการสอนตามช่วงวัยของเด็ก เช่น สำรวจผักที่อยู่ในแปลง การใช้ชีวิตประจำวันตามแนวทางหลักปรัชญาเศรษฐกิจพอเพียง จัดการเรียนรู้ให้ผู้เรียนลงมือปฏิบัติ ทั้งปลูกผัก รดน้ำผัก และเก็บผักผลผลิตนำส่งโรงอาหาร เพิ่มเติมวิชาการปลูกผักเพื่อบริโภค การถนอมอาหาร มีการจัดการเรียนการสอนที่สอดคล้องกับโครงการสุขภาวะสู้ภัยโควิด การออมเงินและการทำบัญชีรายรับรายจ่าย","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",14.96932,100.11369,School,"ผู้ผลิต (Producer) ผู้บริโภค (Consumer)"
โรงเรียนวัดท่าสมอ,"การผลิต, การบริโภค-รับซื้อผลผลิต, การบริการอาหาร (Food Service)","เข้าร่วมโครงการโรงเรียนสุขภาวะเพื่อส่งเสริมให้เกิดการบริโภคอาหารปลอดภัย มีการผลิตขึ้นเองในโรงเรียน ทำกิจกรรมส่งเสริมด้านการบริโภคพืชผัก ผลไม้ และการนำพืช ผัก ผลไม้ปลอดภัยเข้าสู่ครัวโรงเรียน","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านวัฒนธรรมอาหาร, งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ)","เข้าร่วมโครงการโรงเรียนสุขภาวะเพื่อส่งเสริมให้เกิดการบริโภคอาหารปลอดภัย มีการผลิตขึ้นเองในโรงเรียน ทำกิจกรรมส่งเสริมด้านการบริโภคพืชผัก ผลไม้ และการนำพืช ผัก ผลไม้ปลอดภัยเข้าสู่ครัวโรงเรียน","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",15.01566,100.12128,School,"ผู้บริโภค (Consumer)"
โรงพยาบาลส่งเสริมสุขภาพระดับตำบลบางขุด (รพ.สต. บางขุด),"การจัดการทรัพยากร, การผลิต, การกระจาย, การบริโภค-รับซื้อผลผลิต","การพัฒนานโยบายสนับสนุนให้ประชาชนในท้องถิ่นเข้าถึงอาหารเพื่อสุขภาวะ/เพิ่มอัตราการบริโภคผักผลไม้ที่ปลอดภัยได้ในปริมาณที่เพียงพอ 1) จัดกิจกรรมให้ความรู้เรื่องอาหารปลอดภัยให้แก่กลุ่มแกนนำสุขภาพ ครอบครัวหญิงตั้งครรภ์และหญิงให้นมบุตร ผู้ปกครองเด็กปฐมวัย และผู้ป่วยโรคเรื้อรัง 2) สนับสนุนการปลูกผักปลอดสารพิษในชุมชนเพื่อเป็นแหล่งอาหารที่ปลอดภัย 3) ทำงานร่วมกับ อสม. ในการสื่อสารความรู้เรื่องอาหารปลอดภัย 4) ผลักดันนโยบายเรื่องอาหารปลอดภัยในระดับท้องถิ่น 5) การจัดพื้นที่ต้นแบบในการผลิตผักปลอดสารพิษใน รพ.สต. 6) การส่งเสริมให้ครอบครัวหญิงตั้งครรภ์ ผู้ปกครองเด็กปฐมวัย และผู้ป่วยโรคเรื้อรังมีการปลูกผักรับประทานเอง 7) การสร้างเครือข่ายความร่วมมือกับภาคส่วนต่างๆ ในการส่งเสริมอาหารปลอดภัย","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านนโยบาย, งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ), งานส่งเสริมด้านการวิจัย-พัฒนา","ต้นแบบองค์กรที่มีการจัดปัจจัยแวดล้อมด้านอาหารสุขภาวะ แหล่งเรียนรู้องค์กรส่งเสริมสุขภาวะระดับตำบล การพัฒนานโยบายสนับสนุนให้ประชาชนในท้องถิ่นเข้าถึงอาหารเพื่อสุขภาวะ/เพิ่มอัตราการบริโภคผักผลไม้ที่ปลอดภัยได้ในปริมาณที่เพียงพอ 1) จัดกิจกรรมให้ความรู้เรื่องอาหารปลอดภัยให้แก่กลุ่มแกนนำสุขภาพ ครอบครัวหญิงตั้งครรภ์และหญิงให้นมบุตร ผู้ปกครองเด็กปฐมวัย และผู้ป่วยโรคเรื้อรัง 2) สนับสนุนการปลูกผักปลอดสารพิษในชุมชนเพื่อเป็นแหล่งอาหารที่ปลอดภัย 3) ทำงานร่วมกับ อสม. ในการสื่อสารความรู้เรื่องอาหารปลอดภัย 4) ผลักดันนโยบายเรื่องอาหารปลอดภัยในระดับท้องถิ่น 5) การจัดพื้นที่ต้นแบบในการผลิตผักปลอดสารพิษใน รพ.สต. 6) การส่งเสริมให้ครอบครัวหญิงตั้งครรภ์ ผู้ปกครองเด็กปฐมวัย และผู้ป่วยโรคเรื้อรังมีการปลูกผักรับประทานเอง 7) การสร้างเครือข่ายความร่วมมือกับภาคส่วนต่างๆ ในการส่งเสริมอาหารปลอดภัย","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",15.0180698,100.2034449,Government Organization,"ผู้ผลิต (Producer) ผู้บริโภค (Consumer)"
เครือข่ายเกษตรอินทรีย์วิถีเมือง นครปฐม,"การผลิต, การแปรรูป, การกระจาย, การตลาด-จัดจำหน่าย","รวมกลุ่มเกษตรกรในจังหวัดนครปฐมเพื่อทำเกษตรอินทรีย์ สร้างมาตรฐาน PGS ของตนเอง มีตลาดนัดเกษตรอินทรีย์วิถีเมืองเป็นช่องทางจำหน่าย","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ), งานขับเคลื่อนเครือข่าย","สนับสนุนการทำเกษตรอินทรีย์ จัดอบรมให้ความรู้ แลกเปลี่ยนเรียนรู้ระหว่างสมาชิก ตรวจรับรองมาตรฐาน PGS และจัดหาตลาดให้สมาชิก","เกษตรอินทรีย์ (PGS)",13.81881,100.06326,Other,"ผู้ผลิต (Producer), ผู้จำหน่าย (Distributor), ผู้รวบรวม (Aggregator)"
วิสาหกิจชุมชนเกษตรอินทรีย์ตำบลคลองโยง-เจียกไม้,"การผลิต, การแปรรูป, การตลาด-จัดจำหน่าย","ปลูกผักผลไม้อินทรีย์ แปรรูปผลผลิตทางการเกษตร (เช่น กล้วยตาก น้ำยาอเนกประสงค์) จำหน่ายในชุมชนและตลาดใกล้เคียง","งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ)","ส่งเสริมให้สมาชิกปลูกผักกินเอง ลดรายจ่าย เพิ่มรายได้ มีการทำปุ๋ยหมัก น้ำหมักชีวภาพใช้เองและจำหน่าย","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",13.84478,100.28559,Private,"ผู้ผลิต (Producer), ผู้จำหน่าย (Distributor)"
วิสาหกิจชุมชนเกษตรทฤษฎีใหม่หัวใจอินทรีย์,"การผลิต, การตลาด-จัดจำหน่าย","ทำเกษตรผสมผสานตามแนวพระราชดำริ เน้นปลูกผักสลัด ผักสวนครัว และเลี้ยงปลา จำหน่ายผลผลิตในตลาดชุมชนและออนไลน์","งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ)","เป็นแหล่งเรียนรู้การทำเกษตรทฤษฎีใหม่และเกษตรอินทรีย์ให้กับคนในชุมชนและผู้ที่สนใจ","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",13.75338,100.12903,Private,"ผู้ผลิต (Producer), ผู้จำหน่าย (Distributor)"
เครือข่ายวิสาหกิจชุมชนเกษตรอินทรีย์ กลุ่มบางเลน,"การผลิต, การกระจาย, การตลาด-จัดจำหน่าย","รวมกลุ่มเกษตรกรในพื้นที่อำเภอบางเลน ทำเกษตรอินทรีย์ มีการวางแผนการผลิตร่วมกัน รวบรวมผลผลิตส่งจำหน่ายให้แก่ร้านค้าและผู้บริโภคโดยตรง","งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานขับเคลื่อนเครือข่าย","ส่งเสริมการทำเกษตรอินทรีย์ตามมาตรฐาน มีระบบควบคุมภายใน (ICS) จัดหาปัจจัยการผลิตและตลาดให้สมาชิก","เกษตรอินทรีย์ (มีตรารับรอง)",13.98774,100.13451,Other,"ผู้ผลิต (Producer), ผู้จำหน่าย (Distributor), ผู้รวบรวม (Aggregator)"
สามพรานโมเดล,"การกระจาย, การตลาด-จัดจำหน่าย, การสื่อสาร-สร้างการรับรู้","ขับเคลื่อนระบบอาหารสมดุลภายใต้ 'สามพรานโมเดล' เชื่อมโยงเกษตรกรอินทรีย์กับผู้บริโภค ส่งเสริมการตลาดที่เป็นธรรม และการท่องเที่ยววิถีอินทรีย์","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านนโยบาย, งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ), งานขับเคลื่อนเครือข่าย, งานวิจัยและพัฒนา","ริเริ่มและขับเคลื่อนสามพรานโมเดล สร้างเครือข่ายเกษตรกรอินทรีย์ จัดตั้งตลาดสุขใจ พัฒนาระบบรับรองมาตรฐาน PGS และขับเคลื่อนนโยบายสาธารณะด้านอาหารปลอดภัย","เกษตรอินทรีย์ (PGS)",13.7346,100.21856,Private,"ผู้จำหน่าย (Distributor), ผู้ขับเคลื่อน (Enabler/Facilitator)"
ตลาดสุขใจ,"การกระจาย, การตลาด-จัดจำหน่าย, การสื่อสาร-สร้างการรับรู้","เป็นตลาดนัดจำหน่ายสินค้าเกษตรอินทรีย์และอาหารปลอดภัยจากเกษตรกรในเครือข่ายสามพรานโมเดลและพื้นที่ใกล้เคียง เปิดทุกวันเสาร์-อาทิตย์","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานขับเคลื่อนเครือข่าย","เป็นช่องทางจำหน่ายหลักของเครือข่ายสามพรานโมเดล สร้างรายได้ให้เกษตรกร และเป็นพื้นที่เรียนรู้เรื่องเกษตรอินทรีย์สำหรับผู้บริโภค","เกษตรอินทรีย์ (PGS)",13.7346,100.21856,Private,"ผู้จำหน่าย (Distributor), พื้นที่จำหน่าย (Marketplace)"
